Item_Name,Piece_Count,Raw_Cooked,Rice_Type,Category,Style,Ingredients,Assembly_Notes,Packing_Instructions
Spicy Roll - Shrimp,10pc,Cooked,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, baby shrimp, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, baby shrimp), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy Roll - Shrimp,10pc,Cooked,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, baby shrimp, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, baby shrimp), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy Roll -Tuna,10pc,Raw,White Rice,Classic,Style A (Classic),"rice, seaweed, cucumber, tuna, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, tuna), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy Roll - Tuna,10pc,Raw,Brown Rice,Classic,Style A (Classic),"brown rice, seaweed, cucumber, tuna, sesame seed, spicy sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, tuna), roll inside-out, cut into 10 pieces, and add spicy sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Grilled Salmon,10pc,Cooked,White Rice,Classic,Style A (Classic),"seaweed, grilled salmon, avocado, carrot, rice, sesame seed, sushi(eel) sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (grilled salmon, avocado, carrot), roll tightly inside-out, cut into 10 pieces, and add sushi sauce on top.",
Spicy Grilled Salmon,10pc,Cooked,White Rice,Classic,Style A (Classic),"seaweed, grilled salmon, avocado, carrot, rice, sesame seed, spicy sauce, sushi(eel) sauce, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (grilled salmon, avocado, carrot), roll inside-out, cut into 10 pieces, and add spicy sauce and sushi sauce on top.",
Crunchy CA Roll,10pc,Cooked,White Rice,Crunchy,Style B (Upright),"rice, seaweed, cucumber, crab stick, avocado, sesame seed, spicy sauce, sushi sauce, fried onion, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab stick, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Crunchy CA Roll,10pc,Cooked,Brown Rice,Crunchy,Style B (Upright),"brown rice, seaweed, cucumber, crab stick, avocado, sesame seed, spicy sauce, sushi(eel) sauce, fried onion, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab stick, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Crunchy Shrimp Tempura Roll,10pc,Cooked,White Rice,Crunchy,Style B (Upright),"rice, seaweed, crispy shrimp tempura, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (crispy shrimp tempura, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Shrimp Tempura Roll,10pc,Cooked,Brown Rice,Crunchy,Style B (Upright),"brown rice, seaweed, crispy shrimp tempura, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (crispy shrimp tempura, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Shrimp,10pc,Cooked,White Rice,Crunchy,Style B (Upright),"rice, seaweed, baby shrimp, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (baby shrimp, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Shrimp,10pc,Cooked,Brown Rice,Crunchy,Style B (Upright),"brown rice, seaweed, baby shrimp, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (baby shrimp, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Imitation Crab,10pc,Cooked,White Rice,Crunchy,Style B (Upright),"rice, seaweed, imitation crab, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (imitation crab, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Imitation Crab,10pc,Cooked,Brown Rice,Crunchy,Style B (Upright),"brown rice, seaweed, imitation crab, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (imitation crab, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Salmon,10pc,Raw,White Rice,Crunchy,Style B (Upright),"rice, seaweed, salmon, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (salmon, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Salmon,10pc,Raw,Brown Rice,Crunchy,Style B (Upright),"brown rice, seaweed, salmon, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (salmon, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Tuna,10pc,Raw,White Rice,Crunchy,Style B (Upright),"rice, seaweed, tuna, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (tuna, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Crunchy Roll - Tuna,10pc,Raw,Brown Rice,Crunchy,Style B (Upright),"brown rice, seaweed, tuna, cucumber, avocado, fried onion, spicy sauce, sushi(eel) sauce, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (tuna, cucumber, avocado), roll inside-out, cut into 10 pieces, put in tray, and add spicy sauce, fried onion, and sushi sauce on top.",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
"Rainbow Roll - Albacore, Salmon, Tuna",10pc,Raw,White Rice,Rainbow,Style B (Upright),"rice, seaweed, crab salad, avocado, cucumber, tuna, salmon, albacore, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon, tuna, albacore on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
"Rainbow Roll - Albacore, Salmon, Tuna",10pc,Raw,Brown Rice,Rainbow,Style B (Upright),"brown rice, seaweed, crab salad, avocado, cucumber, tuna, salmon, albacore, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon, tuna, albacore on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
"Rainbow Roll - Salmon, Shrimp, Tuna",10pc,Raw,White Rice,Rainbow,Style B (Upright),"rice, seaweed, crab salad, avocado, cucumber, tuna, salmon, ebi shrimp, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon, tuna, ebi shrimp on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
"Rainbow Roll - Salmon, Shrimp, Tuna",10pc,Raw,Brown Rice,Rainbow,Style B (Upright),"brown rice, seaweed, crab salad, avocado, cucumber, tuna, salmon, ebi shrimp, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon, tuna, ebi shrimp on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
"Rainbow Roll - Salmon, Tuna",10pc,Raw,White Rice,Rainbow,Style B (Upright),"rice, seaweed, crab salad, avocado, cucumber, tuna, salmon, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon, tuna on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
"Rainbow Roll - Salmon, Tuna",10pc,Raw,Brown Rice,Rainbow,Style B (Upright),"brown rice, seaweed, crab salad, avocado, cucumber, tuna, salmon, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon, tuna on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Rainbow Roll - Salmon10pc,10pc,Raw,White Rice,Rainbow,Style B (Upright),"rice, seaweed, crab salad, avocado, cucumber, salmon, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Rainbow Roll - Salmon10pc,10pc,Raw,Brown Rice,Rainbow,Style B (Upright),"brown rice, seaweed, crab salad, avocado, cucumber, salmon, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, crab salad, avocado), roll inside-out, add slice salmon on top of rolled sushi, and cut into 10 piece",2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Dragon Roll,10pc,Cooked,White Rice,Dragon,Style C (Curved),"rice, seaweed, cucumber, avocado, crab salad, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, avocado, crab salad), roll inside-out, add slice avocado on top of rolled sushi, and cut into 10 piece",Arranged in a curved line throughout the container. Each piece is standing upright like a wheel. Toppings and sauce cover the top skin of the standing wheels.
Dragon Roll,10pc,Cooked,Brown Rice,Dragon,Style C (Curved),"rice, seaweed, cucumber, avocado, crab salad, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, layer inner ingredients (cucumber, avocado, crab salad), roll inside-out, add slice avocado on top of rolled sushi, and cut into 10 piece",Arranged in a curved line throughout the container. Each piece is standing upright like a wheel. Toppings and sauce cover the top skin of the standing wheels.
Seaside Roll - Salmon,16pc,Raw,White Rice,Seaside,Style D (Cascading),"seaweed, salmon, rice, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, do not flip, layer inner ingredients (salmon) on the rice, roll with seaweed on the outside. Roll 2 rolls total per tray, and cut each roll into 10 pieces (total 20 pieces, packed 16 pieces per tray).","3 pieces per row for the first 5 rows (15 pieces), plus 1 piece in the 6th row (total 16 pieces)."
Seaside Roll - Salmon,16pc,Raw,Brown Rice,Seaside,Style D (Cascading),"seaweed, salmon, brown rice, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, do not flip, layer inner ingredients (salmon) on the rice, roll with seaweed on the outside. Roll 2 rolls total per tray, and cut each roll into 10 pieces (total 20 pieces, packed 16 pieces per tray).","3 pieces per row for the first 5 rows (15 pieces), plus 1 piece in the 6th row (total 16 pieces)."
"Seaside Roll - Salmon, Tuna",16pc,Raw,White Rice,Seaside,Style D (Cascading),"seaweed, salmon, tuna, rice, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, do not flip, roll one roll with salmon and another roll with tuna on the rice, roll with seaweed on the outside. Cut each roll into 10 pieces (total 20 pieces, packed 16 pieces per tray).","3 pieces per row for the first 5 rows (15 pieces), plus 1 piece in the 6th row (total 16 pieces)."
"Seaside Roll - Salmon, Tuna",16pc,Raw,Brown Rice,Seaside,Style D (Cascading),"seaweed, salmon, tuna, brown rice, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, do not flip, roll one roll with salmon and another roll with tuna on the rice, roll with seaweed on the outside. Cut each roll into 10 pieces (total 20 pieces, packed 16 pieces per tray).","3 pieces per row for the first 5 rows (15 pieces), plus 1 piece in the 6th row (total 16 pieces)."
Seaside Roll - Tuna,16pc,Raw,White Rice,Seaside,Style D (Cascading),"seaweed, tuna, rice, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, do not flip, layer inner ingredients (tuna) on the rice, roll with seaweed on the outside. Roll 2 rolls total per tray, and cut each roll into 10 pieces (total 20 pieces, packed 16 pieces per tray).","3 pieces per row for the first 5 rows (15 pieces), plus 1 piece in the 6th row (total 16 pieces)."
Seaside Roll - Tuna,16pc,Raw,Brown Rice,Seaside,Style D (Cascading),"seaweed, tuna, rice, sesame seed, ginger, wasabi, baran","Spread rice on seaweed, do not flip, layer inner ingredients (tuna) on the rice, roll with seaweed on the outside. Roll 2 rolls total per tray, and cut each roll into 10 pieces (total 20 pieces, packed 16 pieces per tray).","3 pieces per row for the first 5 rows (15 pieces), plus 1 piece in the 6th row (total 16 pieces)."
Marina Roll - Tuna,6pc,Raw,White Rice,Marina,Style E (Columnar),"rice, tuna, ginger, wasabi, baran","Dip hands in Tezu water (water with rice vinegar). Scoop 15 to 18 grams of sushi rice, shape gently into an oblong nigiri base with air pockets, and place a slice of tuna sashimi on top. Pack 6 pieces per tray.","6 rows, 1 column (6 pieces total in a single column)."
Marina Roll - Salmon,6pc,Raw,White Rice,Marina,Style E (Columnar),"rice, salmon, ginger, wasabi, baran","Dip hands in Tezu water (water with rice vinegar). Scoop 15 to 18 grams of sushi rice, shape gently into an oblong nigiri base with air pockets, and place a slice of salmon sashimi on top. Pack 6 pieces per tray","6 rows, 1 column (6 pieces total in a single column)."
"Marina Roll - Salmon, Tuna",6pc,Raw,White Rice,Marina,Style E (Columnar),"rice, salmon, tuna, ginger, wasabi, baran","Dip hands in Tezu water (water with rice vinegar). Scoop 15 to 18 grams of sushi rice, shape gently into an oblong nigiri base with air pockets. Place salmon sashimi on the first 3 pieces and tuna sashimi on the last 3 pieces (6 pieces total per tray).","6 rows, 1 column (6 pieces total in a single column)."
"Marina Roll - Salmon, Shrimp, Tuna",6pc,Raw,White Rice,Marina,Style E (Columnar),"rice, salmon, shrimp, tuna, ginger, wasabi, baran","Dip hands in Tezu water (water with rice vinegar). Scoop 15 to 18 grams of sushi rice, shape gently into an oblong nigiri base with air pockets. Place salmon sashimi on the first 2 pieces, shrimp on the middle 2 pieces, and tuna sashimi on the last 2 pieces (6 pieces total per tray).","6 rows, 1 column (6 pieces total in a single column)."
Hawaiian Roll - Salmon,10pc,Raw,White Rice,Hawaiian,Style A (Classic),"seaweed, rice, salmon, avocado, cucumber, crab stick, fish egg(masago), spicy sauce, sushi(eel) sauce, ginger, wasabi, baran",,5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
"Hawaiian Roll - Salmon, Tuna",10pc,Raw,White Rice,Hawaiian,Style A (Classic),"seaweed, rice, salmon, tuna, avocado, cucumber, crab stick, fish egg(masago), spicy sauce, sushi(eel) sauce, ginger, wasabi, baran",,5 rows of 2 pieces. Each piece is placed flat on its circular cut-end. Top-down view exposes the open cut-face.
Spicy Tiger Roll - Tempura Shrimp,10pc,Cooked,White Rice,Tiger,Style B (Upright),"seaweed, rice, crispy shrimp tempura, avocado, crab salad, crab stick, spicy sauce, sushi(eel) sauce, ginger, wasabi, baran",,2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
Spicy Tiger Roll - Tempura Shrimp,10pc,Cooked,Brown Rice,Tiger,Style B (Upright),"seaweed, brown rice, crispy shrimp tempura, avocado, crab salad, crab stick, spicy sauce, sushi(eel) sauce, ginger, wasabi, baran",,2 parallel lines of 5 pieces. Each piece is standing upright. Top-down view reveals only the outer skin and toppings.
